title,overview,genres,language
RRR,"A fictional story of two legendary revolutionaries and their journey",["action","drama"],telugu
Baahubali,"A man discovers his royal heritage and destiny",["action","adventure"],telugu
Darling,"A light-hearted romantic love story",["romance","comedy"],telugu
Race Gurram,"A carefree man gets involved in unexpected action situations",["action","comedy"],telugu
Mr Perfect,"A perfectionist learns life lessons through relationships",["romance","drama"],telugu
Kanchana,"A horror comedy involving supernatural revenge",["horror","comedy"],telugu
Billa,"A stylish gangster drama full of action",["action","crime"],telugu
Arya,"A man expresses unconditional love in a unique way",["romance","drama"],telugu
Gangotri,"A village-based emotional love story",["romance","drama"],telugu
Magadheera,"A reincarnation based epic love story",["fantasy","romance"],telugu
Chiruta,"A young man seeks revenge for his past",["action","drama"],telugu
Dude,"A fun youthful entertainer",["comedy"],telugu
Couple Friendly,"A modern relationship based story",["romance","comedy"],telugu
With Love,"A heartfelt emotional journey of love",["romance","drama"],telugu
Love Today,"A modern love story filled with humor",["romance","comedy"],telugu
Mirchi,"A family drama mixed with action elements",["action","drama"],telugu
KGF,"A man rises in the dangerous underworld",["action","drama"],telugu
Most Eligible Bachelor,"A bachelor explores relationships and marriage",["romance","comedy"],telugu
Pizza,"A thriller involving supernatural mystery",["thriller","horror"],telugu
Pizza 2,"A suspenseful horror mystery sequel",["thriller","horror"],telugu
Pizza 3,"A continuation of horror thriller events",["thriller","horror"],telugu
Attarintiki Daredi,"A man reunites his broken family",["comedy","drama"],telugu
Julayi,"A smart man gets involved in a thrilling chase",["action","comedy"],telugu
Sarrainodu,"A strong man fights corruption",["action","drama"],telugu
Ala Vaikunthapurramuloo,"A man learns his true identity and family truth",["drama","family"],telugu
Pushpa,"A laborer rises in the smuggling world",["action","crime"],telugu
Temper,"A corrupt cop transforms into an honest officer",["action","drama"],telugu
Pokiri,"An undercover cop takes down mafia",["action","crime"],telugu
Businessman,"A ruthless man builds a crime empire",["action","crime"],telugu
Leader,"A young man becomes a political leader",["drama","political"],telugu
Srimanthudu,"A wealthy man adopts a village and helps people",["drama","action"],telugu
Geetha Govindam,"A romantic story full of misunderstandings",["romance","comedy"],telugu
Fidaa,"A love story set in rural backdrop",["romance","drama"],telugu
Tholi Prema,"A college love story with emotional depth",["romance","drama"],telugu
Hello,"A man searches for his childhood love",["romance","action"],telugu
Majili,"A cricketer struggles with life and relationships",["drama","romance"],telugu
Dear Comrade,"A student fights for justice and love",["drama","romance"],telugu
Arjun Suravaram,"A journalist uncovers a major scam",["thriller","crime"],telugu
Kshanam,"A man searches for his missing lover",["thriller","mystery"],telugu
